"sample","total_cells","n_malignant","n_tcell","tcell_fraction","mean_exclusion"
"Mel102",321,170,79,0.246105919003115,0.380859979716641
"Mel103",316,132,65,0.205696202531646,0.565829521252288
"Mel128",88,30,23,0.261363636363636,0.501315622944495
"Mel129pa",178,93,29,0.162921348314607,0.237524545927322
"Mel194",248,57,102,0.411290322580645,0.334284521737499
"Mel71",89,58,13,0.146067415730337,0.423205950660003
"Mel78",123,120,0,0,0.724518438544839
"Mel79",892,491,275,0.308295964125561,0.69186632396869
"Mel80",426,88,150,0.352112676056338,0.56782374981801
"Mel88",346,139,80,0.23121387283237,0.494209382085382
"Mel89",390,100,120,0.307692307692308,0.594990486768483
"Mel98",263,63,97,0.368821292775665,0.484034687868149
